sum_of_purch_amt,sum_of_purch_qty,sum_of_trip_cnt,prod_typ_descr
46204051.55,17611479,13915456,MILK
24481267.37,9334015,7507952,MILK
23560705.72,16023272,12850217,EGG
19821037.71,7576062,6054340,MILK
16934494.13,6462093,5090107,MILK
15020792.74,3274720,2065889,SNX/BEV/PET/CNDY019
14825214.7,7558220,4303167,FRS ALL OTR FRUIT
14431653.14,8054022,5132602,FRS ALL OTR FRUIT
13348740.71,2306033,1765187,SODA
13080737.87,5525317,3719612,BUTTER
12586333.04,800421,694775,BEER
12226900.73,2103892,1510728,SODA
11226919.68,1842625,1846949,BEAUTY032
11043611.33,3477415,3188980,EGG
10374500,103745,72432,GIFT CARD
10205884.75,1759243,1347412,SODA
10140548.93,5459435,3554941,FRS ALL OTR FRUIT
10033379.04,2965445,2360039,SPRING WATER
9311967.64,1583800,1265324,SODA
9231343.24,601546,504905,BEER
9121304.07,2400307,1833768,SPRING WATER
8609936.67,3074822,2811114,SUGAR
8521514.68,1023790,902685,CHICKEN
8501953.43,2293162,1723953,SODA
7945676.14,4601391,2342567,CREAM CHEESE
7760298.64,507761,126959,INFANT FORMULA
7220896.1,5462731,4806159,FRESH CARROT
7128766.46,2497072,2070476,CHEESE
7033403.01,1902186,1314600,SODA
